year,succesful_anime,best_anime,score
2021,23,Fruits Basket: The Final Season,8.98
2023,20,Frieren: Beyond Journey's End,9.39
2022,18,Bleach: Thousand-Year Blood War,9.02
2018,16,Gintama.: Silver Soul Arc - Second Half War,8.88
2019,15,Attack on Titan Season 3 Part 2,9.05
2012,13,Gintama: Enchousen,9.02
2008,13,Clannad: After Story,8.93
2014,13,Mushi-shi: Next Passage Part 2,8.73
2015,12,Gintama Season 4,9.06
2007,12,Gurren Lagann,8.63
2016,12,Natsume's Book of Friends Season 5,8.57
2017,11,Gintama Season 5,8.98
2006,11,Gintama,8.94
2011,10,Steins;Gate,9.07
2020,10,Jujutsu Kaisen,8.61
2009,9,Fullmetal Alchemist: Brotherhood,9.09
2010,9,The Tatami Galaxy,8.56
2024,8,The Dangers in My Heart Season 2,8.91
2013,8,Monogatari Series: Second Season,8.76
2004,6,Monster,8.88
1998,5,Cowboy Bebop,8.75
2002,4,Ghost in the Shell: Stand Alone Complex,8.42
1996,4,Rurouni Kenshin,8.29
2003,4,Kino's Journey,8.28
1999,3,One Piece,8.72
2005,3,Mushi-Shi,8.66
1997,2,Berserk,8.58
1995,2,Neon Genesis Evangelion,8.35
1986,2,Maison Ikkoku,8.2
1980,1,Tomorrow's Joe 2,8.73
1992,1,Yu Yu Hakusho: Ghost Files,8.46
1979,1,The Rose of Versailles,8.33
1970,1,Tomorrow's Joe,8.31
1990,1,Tanoshii Muumin Ikka,8.24
1989,1,Dragon Ball Z,8.17
1978,1,Future Boy Conan,8.11
2001,1,Hikaru no Go,8.07
1988,1,City Hunter 2,8.07
1985,1,Touch,8
